"ID","Title","DOI","ResGrp","Institution","Journal","Year","AnalysisPgrm","CodeArchived","DAS","CorresAuthor","Preprints","Repository","Complete","Reuse","Access","Licence","Image","Genomics","Human","filepath"
409,"Active proton efflux, nutrient retention and boron-bridging of pectin are related to greater tolerance of proton toxicity in the roots of two Erica species","10.1016/j.plaphy.2018.02.029","Stephen Fry","Other","Plant Physiology and Biochemistry",2018,1,NA,NA,1,0,"Supplementary material",2,3,2,4,0,NA,NA,"pdf/409.pdf"
323,"Specific enrichment of hydrocarbonclastic bacteria from diesel-amended soil on biochar particles","10.1016/j.scitotenv.2020.143084","Andrew Free","IQB3","Science of Total Environment",2021,1,NA,1,1,0,"Supplementary material and ENA",3,4,4,3,NA,1,NA,"pdf/323.pdf"
73,"Modeling of TREX1-Dependent Autoimmune Disease using Human Stem Cells Highlights L1 Accumulation as a Source of Neuroinflammation","10.1016/j.stem.2017.07.009","Crow","IGC (Centre for Genomic and Experimental Medicine)","Cell Stem Cell",2017,1,NA,1,0,0,"supp",2,3,2,3,0,0,0,"pdf/73.pdf"
539,"PRC1 Fine-tunes Gene Repression and Activation to Safeguard Skin Development and Stem Cell Specification","10.1016/j.stem.2018.04.005","Bickmore","HGU","Cell Stem Cell",2018,1,"2",1,0,0,"B",4,3,4,4,0,1,0,"pdf/539.pdf"
114,"Engineering Genetic Predisposition in Human Neuroepithelial Stem Cells Recapitulates Medulloblastoma Tumorigenesis","10.1016/j.stem.2019.05.013","Pollard","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Cell Stem Cell",2019,1,NA,1,0,0,"supp",3,3,2,4,0,1,NA,"pdf/114.pdf"
158,"Regional identity of human neural stem cells determines oncogenic responses to histone H3.3 mutants","10.1016/j.stem.2021.01.016","Pollard","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Cell Stem Cell",2021,1,"1",1,1,0,"GEO",3,4,4,4,0,1,0,"pdf/158.pdf"
449,"Human biliary epithelial cells from discarded donor livers rescue bile duct structure and function in a mouse model of biliary disease","10.1016/j.stem.2022.02.006","Hay","CRM","Cell Stem Cell",2022,1,NA,0,0,0,"B",3,4,4,3,0,1,1,"pdf/449.pdf"
441,"Modulating innate immunity improves hepatitis C virus infection and replication in stem cell-derived hepatocytes","10.1016/j.stemcr.2014.04.018","Hay","CRM","Stem Cell Reports",2014,0,"0",NA,1,0,"S",2,2,2,3,0,1,0,"pdf/441.pdf"
442,"Recombinant Laminins Drive the Differentiation and Self-Organization of hESC-Derived Hepatocytes","10.1016/j.stemcr.2015.10.016","Hay","CRM","Stem Cell Reports",2015,0,"0",NA,1,0,"B",3,4,4,4,0,1,0,"pdf/442.pdf"
478,"Gro/TLE enables embryonic stem cell differentiation by repressing pluripotent gene expression","10.1016/j.ydbio.2014.10.007","Lowell","CRM","Developmental Biology",2015,1,NA,NA,0,0,NA,1,1,1,1,0,1,NA,"pdf/478.pdf"
437,"Bacterial flagellar motor as a multimodal biosensor","10.1016/j.ymeth.2020.06.012","Teuta Pilizota","Other","Scientific reports",2020,0,NA,1,0,0,"Supplementary material",1,1,1,1,NA,NA,NA,"pdf/437.pdf"
345,"Comprehensive Profiling of Diverse Genetic Reporters with Application to Whole-Cell and Cell-Free Biosensors","10.1021/acs.analchem.9b04444","Baojun Wang","IQB3","Analytical Chemistry",2019,0,NA,NA,1,0,"Supplementary/source material",2,2,4,4,NA,0,NA,"pdf/345.pdf"
355,"Imaging Proteins Sensitive to Direct Fusions Using Transient Peptide–Peptide Interactions","10.1021/acs.nanolett.3c03780","Susan Rosser","IQB3","Nano Letters",2023,1,"1",NA,1,1,"Supplementary info",2,3,4,4,1,NA,NA,"pdf/355.pdf"
160,"Validating differential volatilome profiles in Parkinson’s disease","10.1021/acscentsci.0c01028","Kunath","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","ACS Central Science",2021,1,NA,NA,0,0,"pubs.acs.org",2,3,4,3,NA,NA,0,"pdf/160.pdf"
115,"Discovery of volatile biomarkers of Parkinson’s Disease from sebum","10.1021/acscentsci.8b00879","Kunath","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","ACS Central Science",2019,1,"1",NA,0,1," ACS Publications website",2,3,3,4,NA,NA,NA,"pdf/115.pdf"
172,"Chemical interrogation of nuclear size identifies compounds with cancer cell line specific effects on migration and invasion","10.1021/acschembio.2c00004","Schirmer","SBS (Institute of Cell Biology)","ACS Chemical Biology",2022,1,"1",NA,1,1,"pubs.acs.org, SUPP",2,3,4,4,0,NA,NA,"pdf/172.pdf"
351,"CRISPR-dCas9 Mediated Cytosine Deaminase Base Editing in Bacillus subtilis","10.1021/acssynbio.0c00151","Susan Rosser","IQB3","Yeast",2020,1,NA,NA,1,0,"Supplementary info and repository",2,2,4,3,0,0,NA,"pdf/351.pdf"
376,"One-pot synthesis of adipic acid from guaiacol in escherichia coli","10.1021/acssynbio.0c00254","Stephen Wallace","IQB3","ACS Synthetic Biology",2020,0,NA,NA,1,0,"Supporting information",2,2,4,3,0,NA,NA,"pdf/376.pdf"
357,"ACtivE: Assembly and CRISPR-Targeted in Vivo Editing for Yeast Genome Engineering Using Minimum Reagents and Time","10.1021/acssynbio.2c00175","Susan Rosser","IQB3","ACS Synthetic Biology",2022,1,NA,NA,1,1,"Supplementary info",2,2,4,3,0,0,NA,"pdf/357.pdf"
349,"P1 Bacteriophage-Enabled Delivery of CRISPR-Cas9 Antimicrobial Activity Against Shigella flexneri","10.1021/acssynbio.2c00465","Baojun Wang","IQB3","ACS Synthetic Biology",2023,1,NA,NA,1,1,"Supplementary info",2,2,4,3,0,0,NA,"pdf/349.pdf"
384,"Interlaboratory Reproducibility in Growth and Reporter Expression in the Cyanobacterium Synechocystis sp. PCC 6803","10.1021/acssynbio.3c00150","Alistair McCormick","Other","ACS Synthetic Biology",2023,1,"1",1,1,0,"Figshare",4,4,4,3,NA,NA,NA,"pdf/384.pdf"
344,"Orthogonality and Burdens of Heterologous AND Gate Gene Circuits in E. coli","10.1021/acssynbio.7b00328","Baojun Wang","IQB3","ACS Synthetic Biology",2017,1,NA,NA,1,0,"Supplementary/source material",3,4,4,3,NA,1,NA,"pdf/344.pdf"
380,"Palladium Nanoparticles from Desulfovibrio alaskensis G20 Catalyze Biocompatible Sonogashira and Biohydrogenation Cascades","10.1021/jacsau.2c00366","Stephen Wallace","IQB3","JACS Au",2022,0,NA,NA,1,0,"Supporting information",2,2,4,3,0,NA,NA,"pdf/380.pdf"
372,"Overproduction of Native and Click-able Colanic Acid Slime from Engineered Escherichia coli","10.1021/jacsau.2c00583","Stephen Wallace","IQB3","JACS Au",2023,0,NA,1,1,1,"Supporting information",2,3,4,3,0,1,NA,"pdf/372.pdf"
487,"A tight control of Rif1 by Oct4 and Smad3 is critical for mouse embryonic stem cell stability","10.1038/cddis.2014.551","Adams","HGU","Cell Death & Disease (Nature)",2015,1,NA,NA,0,0,"B",4,4,4,4,1,1,NA,"pdf/487.pdf"
327,"Community history affects the predictability of microbial ecosystem development","10.1038/ismej.2013.150","Andrew Free","IQB3","ISME ",2014,1,NA,NA,1,0,"Supplementary data",4,2,2,3,0,NA,NA,"pdf/327.pdf"
319,"The host metabolite D-serine contributes to bacterial niche specificity through gene selection","10.1038/ismej.2014.242","Karl Burgess","IQB3","ISME ",2015,1,"1",NA,1,0,"Supplementary data",2,4,4,4,0,0,NA,"pdf/319.pdf"
525,"A Conditional Zebrafish MITF Mutation Reveals MITF Levels Are Critical for Melanoma Promotion vs. Regression In Vivo","10.1038/jid.2013.293","Patton","HGU","Journal of Investigative Dermatology",2014,0,"0",NA,1,0,NA,1,1,1,1,0,1,NA,"pdf/525.pdf"
