"ID","Title","DOI","ResGrp","Institution","Journal","Year","AnalysisPgrm","CodeArchived","DAS","CorresAuthor","Preprints","Repository","Complete","Reuse","Access","Licence","Image","Genomics","Human","filepath","txt_filepath","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","Method"
11,"Wild-type K-ras has a tumour suppressor effect on carcinogen-induced murine colorectal adenoma formation","10.1111/iep.12064","Arends","IGC (Edinburgh Cancer Research)","International Journal of Experimental Pathology",2014,0,NA,NA,1,0,"supp",1,1,1,1,0,0,0,"pdf/11.pdf","txt/11.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
12,"Boosting Wnt activity during colorectal cancer progression through selective hypermethylation of Wnt signaling antagonists","10.1186/1471-2407-14-891","Arends","IGC (Edinburgh Cancer Research)","BMC Cancer",2014,1,1,NA,0,0,"supp",2,3,2,4,NA,0,1,"pdf/12.pdf","txt/12.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
13,"High-Throughput Chemical Screening for Antivirulence Developmental Phenotypes in Trypanosoma brucei","10.1128/ec.00335-13","Matthews","Edinburgh Infectious Diseases Organisation","Eukaryotic Cell                                   (American Society for Microbiology)",2014,1,NA,NA,1,0,"supp",3,4,4,4,0,1,NA,"pdf/13.pdf","txt/13.txt",TRUE,"field-specific repository, supplement",FALSE,"rna sequence data have treated with 100 ␮m 8-pcpt-camp were included as a positive been deposited in the ncbi gene expression omnibus (geo) repository control and as a benchmark for reporter activation (16 17) with under accession number gse46483. activation of the reporter and inhibition of cell proliferation in- duced by the 8-pcpt-camp set at 100% change.   this cutoff was selected to include the has been used previously for the analysis of known chemical in- top ⬃200 hits a number suitable for secondary screening. ducers of stumpy-like formation via a cat reporter gene (16) the selected compounds were next subjected to secondary where treatment with cell-permeable camp (8-pcpt-camp) or a screening whereby each compound was tested in duplicate at 5.6 camp analogue (8-pcpt-2=-o-methyl-camp) caused an in- ␮m 16.7 ␮m and 50 ␮m (see data set s1 in the supplemental crease in cat mrna and protein expression as well as cell growth material).;     for data set s1).;     this revealed good agreement be- were downregulated with a ⱖ1.25-fold change after ddd00015314 tween the two transcripts with a 1.47-fold upregulation of cat treatment (see data set s2 in the supplemental material) and a mrna in response to ddd00015314 treatment and a 1.44-fold p of ⬍0.05 before adjustment for multiple testing with no increase in pad1 mrna expression (table 1).;     a full list of genes (with associated statistics) up- and downregulated after ddd00015314 treatment is provided in data set s2 in the supplemental material.",NA,"oddpub"
14,"Genome-Wide Saturation Mutagenesis of Burkholderia pseudomallei K96243 Predicts Essential Genes and Novel Targets for Antimicrobial Development","10.1128/mbio.00926-13","Moule","Edinburgh Infectious Diseases Organisation","mBio                                                    (American Society for Microbiology)",2014,1,0,NA,0,0,"supp",2,3,4,4,0,1,NA,"pdf/14.pdf","txt/14.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
15,"The Twin Arginine Translocation System Is Essential for Aerobic Growth and Full Virulence of Burkholderia thailandensis","10.1128/jb.01046-13","Moule","Edinburgh Infectious Diseases Organisation","Journal of Bacteriology                   (American Society for Microbiology)",2014,1,NA,NA,0,0,"supp",2,2,2,3,0,0,NA,"pdf/15.pdf","txt/15.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
16,"Rosetting Plasmodium falciparum-Infected Erythrocytes Bind to Human Brain Microvascular Endothelial Cells In Vitro, Demonstrating a Dual Adhesion Phenotype Mediated by Distinct P. falciparum Erythrocyte Membrane Protein 1 Domains","10.1128/iai.01233-13","Rowe","Edinburgh Infectious Diseases Organisation","Infection and Immunity                 (American Society for Microbiology)",2014,1,NA,NA,1,0,NA,1,1,1,1,0,NA,NA,"pdf/16.pdf","txt/16.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
17,"Mechanistic Studies of the Negative Epistatic Malaria-protective Interaction Between Sickle Cell Trait and α+thalassemia","10.1016/j.ebiom.2014.10.006","Rowe","Edinburgh Infectious Diseases Organisation","eBioMedicine                                              (The Lancet)",2014,1,NA,NA,0,0,"supp",2,2,2,4,NA,NA,0,"pdf/17.pdf","txt/17.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
18,"Predicted Impact of Mass Drug Administration on the Development of Protective Immunity against Schistosoma haematobium","10.1371/journal.pntd.0003059","Savill","Edinburgh Infectious Diseases Organisation","PLOS Neglected Tropical Diseases        (Public Library of Science PLOS)",2014,1,NA,NA,0,0,NA,1,1,1,1,NA,NA,0,"pdf/18.pdf","txt/18.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
19,"Immune-Mediated Competition in Rodent Malaria Is Most Likely Caused by Induced Changes in Innate Immune Clearance of Merozoites","10.1371/journal.pcbi.1003416","Savill","Edinburgh Infectious Diseases Organisation","PLOS Computational Biology              (Public Library of Science PLOS)",2014,1,NA,NA,0,0,NA,1,1,1,1,NA,NA,NA,"pdf/19.pdf","txt/19.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
20,"Gain-of-function mutations in IFIH1 cause a spectrum of human disease phenotypes associated with upregulated type I interferon signaling","10.1038/ng.2933","Crow","IGC (Centre for Genomic and Experimental Medicine)","Nature Genetics",2014,1,NA,NA,1,0,"Supp",2,3,2,2,0,0,0,"pdf/20.pdf","txt/20.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
21,"Fibroblast growth factor signalling in multiple sclerosis: inhibition of myelination and induction of pro-inflammatory environment by FGF9","10.1093/brain/awv102","Williams","SBS (Institute for Regeneration and Repair, Centre for Regenerative Medicine)","Brain",2015,1,1,NA,0,0,"supp",2,4,4,4,0,1,0,"pdf/21.pdf","txt/21.txt",FALSE,NA,TRUE,NA,"after 10 days in culture demyelination for this study are available at https://github.com/muecs/cp. was induced by addition of 0.5 mg/ml lysophosphatidyl lysole- cithin (lpc; sigma) to the medium for 16 h after which the downloaded from https://academic.oup.com/brain/article/138/7/1875/253534 by university of edinburgh user on 14 june 2024 slices were transferred back into normal medium 100 ng/ml in situ hybridization analysis fgf9.","oddpub"
22,"A single chromosome assembly of Bacteroides fragilis strain BE1 from Illumina and MinION nanopore sequencing data","10.1186/s13742-015-0101-6","Blakely","Edinburgh Infectious Diseases Organisation","GigaScience                                            (Oxford Academic)",2015,1,NA,1,0,1,"European Nucleotide Archive",4,4,4,4,NA,1,1,"pdf/22.pdf","txt/22.txt",TRUE,"field-specific repository, general-purpose repository",FALSE,"koren s harhay gp smith tpl bono jl harhay dm mcvey sd et al. sembly are available in the european nucleotide archive reducing assembly complexity of microbial genomes with single-molecule under project accession prjeb10044. chin c-s alexander dh marks p klammer aa drake j heiner c et al. ation data is also available in the gigascience gigadb re- nonhybrid finished microbial genome assemblies from long-read smrt pository [33]. sequencing data.",NA,"oddpub"
23,"Extracellular Onchocerca-derived small RNAs in host nodules and blood","10.1186/s13071-015-0656-1","Buck","Edinburgh Infectious Diseases Organisation","Parasites & Vectors                                   (BMC Springer Nature)",2015,1,NA,NA,1,0,"GEO",3,3,4,4,NA,1,1,"pdf/23.pdf","txt/23.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
24,"The Discovery, Distribution, and Evolution of Viruses Associated with Drosophila melanogaster","10.1371/journal.pbio.1002210","Buck","Edinburgh Infectious Diseases Organisation","PLOS Biology                                           (Public Library of Science PLOS)",2015,1,NA,1,0,1,"NCBI Sequence Read Archive ",4,4,4,4,NA,1,NA,"pdf/24.pdf","txt/24.txt",TRUE,"field-specific repository, supplement",FALSE,"analysis of small rnas information files with the exception of raw also allows us to identify putative viral sequences that lack detectable sequence similarity to metagenomic sequence data which are deposited at ncbi sequence read archive (srp056120) and known viruses.;     by surveying >2000 individually collected wild adult drosophila we show sequence data which are deposited at genbank that more than 30% of d. melanogaster carry a detectable virus and more than 6% carry (kp714070-kp714108 kp757922-kp757936 and multiple viruses.;     further details of the new viruses are given in table 1 and s2 table and virus sequences have been submitted to genbank as kp714070-kp714108 and kp757922- kp757936.;     the read-mapping count data are provided in s1 data and raw de novo contigs are provided in s2 data. doi:10.1371/journal.pbio.1002210.g003 plos biology | doi:10.1371/journal.pbio.1002210 july 14 2015 8 / 33 viruses of drosophila melanogaster contigs were submitted to genbank as uncultured environmental virus sequences (kp757937– kp757993).;     metagenomic and small-rna sequencing all raw reads have been submitted to the sequence read archive under project accession srp056120.;     final sequences for phylogenetic analysis and submis- sion to ncbi were generated either by pcr and sanger sequencing or from a majority consen- sus derived by re-mapping rna-seq reads to the combined de novo/pcr contig (sequences have been submitted to genbank as kp714070-kp714108 and kp757922-kp757936).;     final sirna- plos biology | doi:10.1371/journal.pbio.1002210 july 14 2015 19 / 33 viruses of drosophila melanogaster candidate sequences for phylogenetic analysis and submission to genbank were generated either by rt-pcr and sanger sequencing or from a majority consensus derived by re-mapping rna-seq reads to the each contig (submitted to genbank as kp757937–kp757993).;     sequences were submitted to genbank under accessions kp969454-kp970120.   raw de novo metage- nomic contigs are provided in s2 data.;     provisional virus closest relative provisional classiﬁcation genbank id discovery name pool berkeley virus fesavirus 1 (aii82258) and procambarus clarkii transcript picornavirales (see s6 data) srr070416 (gbev01003876) bloomﬁeld virus fiji disease virus (yp_249762) and transcript from reoviridae kp714090-kp714098 st teleopsis dalmanni (gbbp01003534) brandeis virus virgaviruses and negeviruses and ceratitis capitata unclassiﬁed cf.;     negevirus (see s6 data) srr486220 transcript jab99293 and virgaviridae chaq virus transcript from pachypsylla venusta (gaop01016991) unclassiﬁed kp714088 eikst charvil virus jingmen tick virus (ahz31740) and transcript from flaviviridae kp714089 st ctenocephalides felis (gayp01050470) newﬁeld virus thosea asigna virus (aaq1432) and transcript from permutotetraviridae kp714070 eik leptopilina heterotoma (gajc01011263) craigie’s hill virus bat guano associated nodavirus (adi48250) alphanodavirus (nodaviridae) kp714084 kp714085 st dansoman virus chronic bee paralysis virus (aco82551) unclassiﬁed kp714086 kp714087 eikst galbut virus nilaparvata lugens commensal x virus (bad27579) and unclassiﬁed kp714099 kp714100 eikst transcript from velia caprai (gauo01011346) kiliﬁ virus rosy apple aphid virus (abb89048) picornavirales kp714071 ek kallithea virus drosophila innubila nudivirus and oryctes rhinoceros virus nudivirus kp714101-kp714108 eik la jolla virus tomato matilda virus (aem65163) and transcript from iﬂaviridae kp714073 eikst calopteryx splendens (gaym01007394) motts mill virus ixodes scapularis associated virus 1 (aii01797) and cf.;     alignments with mrbayes command blocks are provided in s3 data and maximum clade credibility trees are provided in s4 data. doi:10.1371/journal.pbio.1002210.g001 d. melanogaster we mapped the raw genomic reads from 527 distinct d. melanogaster genomes [61] to our set of blast-candidate viruses and confirmed that no genome mapped at a rate high enough to be consistent with a genomic copy of any virus in that individual.;     counts used to plot this figure are provided in s1 data. doi:10.1371/journal.pbio.1002210.g002 plos biology | doi:10.1371/journal.pbio.1002210 july 14 2015 7 / 33 viruses of drosophila melanogaster small rnas are markers for novel virus-like sequences in addition to the viral candidates identified by blast we reasoned that contigs which lack blast similarity to reference sequences but which display a signature of dcr-2 processing (high levels of 21–23 nt sirnas and low levels of 25–29 nt pirnas) may also be viral in origin (fig 3; this approach was very recently advocated in [54] but see also [1765]).;     the read-mapping count data are provided in s1 data and raw de novo contigs are provided in s2 data. doi:10.1371/journal.pbio.1002210.g003 plos biology | doi:10.1371/journal.pbio.1002210 july 14 2015 8 / 33 viruses of drosophila melanogaster contigs were submitted to genbank as uncultured environmental virus sequences (kp757937– kp757993).;     around 33% of “run” datasets contained viral reads above a threshold of 100 reads per million (rpm) representing 39% of “samples” and 58% of submitted “projects” (figs 4 and s8 and s5 data).;     to discover the distribution of viruses in laboratory cultures (including cell culture) the first 2 million reads from each of 9656 publicly available rnaseq and sirna datasets were mapped to all previously reported and newly discovered rna viruses (s8 fig and s5 data).;     summary data for this figure are provided in s1 data and raw counts in s5 data. doi:10.1371/journal.pbio.1002210.g004 plos biology | doi:10.1371/journal.pbio.1002210 july 14 2015 11 / 33 viruses of drosophila melanogaster based on the 100 rpm threshold dav (1025 of 9656 datasets) dcv (979 datasets) nora virus (629 datasets) newfield virus (483 datasets) fhv drosophila totivirus american nodavirus drosophila birnavirus dmelsv thika virus kilifi virus la jolla virus craigie’s hill virus bloomfield virus chaq virus and galbut virus were all present in public datasets (figs 4 and s8 and s5 data).;     we have provisionally named these berkeley virus and brandeis virus respectively (table 1 s2 table and s6 data).;     the survey also identified a novel totivirus and several (possibly fragmentary or non-coding) reovirus segments in cell culture at least one of which is widespread (214 datasets; figs 4 and s8 and s5 data).;     for the other nine rna viruses analysed sample sizes were smaller and dated samples were only available from a 5 year window making unconstrained estimates of mutation rate and mrca dates difficult so that quantitative estimates for these viruses should be treated with caution (results inferred using a strong prior on mutation-rate are pre- sented in s13 fig and s8 data).;     by incorporating information on host species (d. melanogaster versus d. simulans) in the phylogenetic analysis we were able detect past movement of rna viruses between these host species (e.g. fig 6) and obtain rough estimates of host switching rate [8889] (s13 fig and s8 data).;     nevertheless there appeared to be sub- stantial variation in host-switching rate amongst the seven rna viruses that were detected in both hosts with chaq virus showing the lowest rate and la jolla virus the highest (fig 6; s13 fig and s8 data).;     a similar analysis of inter-continental geographical movement suggests sub- stantial genetic structuring between geographic regions may be present in some viruses (s13 fig and s8 data) although again further time-sampled data are required for the analyses to provide useful precision.;     dav and nora virus proteins are highly conserved with little evidence for positive selection to quantify patterns of selection acting on protein-coding sequences we applied a phyloge- netic approach to infer relative rates of synonymous (ds) and non-synonymous (dn) substitu- tion [96] in 11 of the viruses (quantified as dn-ds or dn/ds; s13 fig s9 data and s14 fig).;     the underlying beast xml file (including the alignment and model specification) along with the resulting maximum clade credibility tree file and summaries of posterior distributions are provided in s7 data and s8 data. doi:10.1371/journal.pbio.1002210.g006 the nora virus capsid [97] perhaps indicative of host-mediated selection.;     contigs are provided in s2 data.;     resulting contigs of >3.5 kbp in length were compared to known viral proteins using blastx and the top hits manually curated to create a second group of blast- candidate viruses (such sequences cannot be accepted by genbank and are instead provided in s6 data).;     supporting information s1 data.;     (xlsx) s2 data.;     (zip) plos biology | doi:10.1371/journal.pbio.1002210 july 14 2015 23 / 33 viruses of drosophila melanogaster s3 data.;     (zip) s4 data.;     (zip) s5 data.;     (zip) s6 data.;     (zip) s7 data.;     (zip) s8 data.;     (zip) s9 data.;     alignments were those provided in s7 data and trees were those provided in s8 data.;     raw ct data are given in s1 data.;     alignments are provided in s3 data and maximum clade credibility trees are provided in s4 data.;     raw count data for this figure are provided in s1 data.;     raw count data for this figure are provided in s1 data.;     count data are provided in s1 data.;     normalised data are provided in s1 data.;     counts are provided in s5 data.;     counts are provided in s5 data.;     the underlying beast xml files (including alignments and model specifications) are provided along with the resulting mcc tree files and summaries of posterior distributions in s7 data and s8 data.;     the underlying fubar batch files and per-site parameter estimates are provided in s9 data.;     fubar batch files and parameter estimates are provided in s9 data.  files s2 s4 s5 s6 and s7 figs. (xlsx",NA,"oddpub"
25,"Abnormal proliferation and spontaneous differentiation of myoblasts from a symptomatic female carrier of X-linked Emery-Dreifuss muscular dystrophy","10.1016/j.nmd.2014.09.012","Schirmer","SBS (Institute of Cell Biology)","Neuromuscular Disorders",2015,1,NA,NA,1,0,NA,1,1,1,1,0,0,0,"pdf/25.pdf","txt/25.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
26,"Whole-epigenome analysis in multiple myeloma reveals DNA hypermethylation of B cell-specific enhancers","10.1101/gr.180240.114","Schirmer","SBS (Institute of Cell Biology)","Genome Research",2015,1,1,1,0,0,"European Genome-phenome Archive",3,3,4,4,NA,1,1,"pdf/26.pdf","txt/26.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
27,"Aberrant epithelial GREM1 expression initiates colonic tumorigenesis from cells outside the stem cell niche","10.1038/nm.3750","Tomlinson","IGC (Edinburgh Cancer Research)","Nature Medicine",2015,1,NA,NA,1,0,"NCBI GEO",3,3,4,4,0,0,NA,"pdf/27.pdf","txt/27.txt",TRUE,"field-specific repository",FALSE,"there the ncbi gene expression omnibus with accession number is much greater physiological expression of both grem1 and grem2 gse62307. than of nog in human intestinal stroma (supplementary fig. 5f) and the importance of grem1 has been highlighted by its causative note: any supplementary information and source data files are available in the online version of the paper. role in hmps9 and the association of sporadic crc with grem1 com- mon allelic variants30.;     all mouse experiments were completed in accordance with uk home office gene expression data have been deposited in the ncbi gene expression regulations under the animals (scientific procedures) act 1986 (animals in omnibus with accession number gse62307.",NA,"oddpub"
28,"FBXW7-mutated colorectal cancer cells exhibit aberrant expression of phosphorylated-p53 at Serine-15","10.18632/oncotarget.3284","Tomlinson","IGC (Edinburgh Cancer Research)","Oncotarget",2015,1,NA,NA,0,0,"supp",2,2,2,4,0,NA,0,"pdf/28.pdf","txt/28.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
29,"Analysis of the history and spread of HIV-1 in Uganda using phylodynamics","10.1099/vir.0.000107","Leigh-Brown","Edinburgh Infectious Diseases Organisation","Journal of General Virology       (Microbiology Society)",2015,1,NA,NA,1,0,NA,1,1,1,1,NA,NA,0,"pdf/29.pdf","txt/29.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
30,"Nuclear FAK Controls Chemokine Transcription, Tregs, and Evasion of Anti-tumor Immunity","10.1016/j.cell.2015.09.001","Frame","IGC (Edinburgh Cancer Research)","Cell",2015,1,NA,NA,1,0,"supp",2,4,4,4,NA,1,NA,"pdf/30.pdf","txt/30.txt",TRUE,"field-specific repository",FALSE,"the microarray data discussed in this manuscript has been deposited in + + + ncbi’s gene expression omnibus and is accessible through geo series cd4  cd8  and cd25 t cell depletion accession number geo: gse71662.",NA,"oddpub"
31,"Paradox-Breaking RAF Inhibitors that Also Target SRC Are Effective in Drug-Resistant BRAF Mutant Melanoma","10.1016/j.ccell.2014.11.006","Frame","IGC (Edinburgh Cancer Research)","Cancer Cell",2015,1,NA,NA,0,0,"supp",2,2,2,3,0,0,NA,"pdf/31.pdf","txt/31.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
32,"BRAF inhibitor resistance mediated by the AKT pathway in an oncogenic BRAF mouse melanoma model","10.1073/pnas.1418163112","Arends","IGC (Edinburgh Cancer Research)","Proceedings of the National Academy of Sciences (PNAS)",2015,1,NA,NA,0,0,"supp",2,3,4,4,NA,1,NA,"pdf/32.pdf","txt/32.txt",TRUE,"field-specific repository, supplement",FALSE,"mapk-dependent mecha- freely available online through the pnas open access option. nisms primarily involve reactivation of the mapk pathway to data deposition: the sequence reported in this paper has been deposited in the european nucleotide archive (accession no. erp002600). substitute for the inhibition of brafv600e.   (plx4720-naïve) (dataset s1) included 56 statistically signifi- we verified the existence of braf-t2/onc chimeric transcripts using cant loci (p < 0.05; materials and methods) and many well- primers in exon 10 (n = 4) 2 (n = 2) or 3 (n = 1) of braf and in the established melanoma driver genes including cdkn2a and pten splice donor of the transposon (fig.;     the analysis of insertion sites from the 53 plx4720-resistant melanomas identified 10 ciss (p < 0.05) (fig. 2 and dataset s1).;     s8 and dataset s1).",NA,"oddpub"
33,"Molecular control of irreversible bistability during trypanosome developmental commitment","10.1083/jcb.201506114","Matthews","Edinburgh Infectious Diseases Organisation","Journal of Cell Biology                  (Rockefeller University Press)",2015,1,NA,NA,1,0,"supp",2,3,4,4,NA,NA,NA,"pdf/33.pdf","txt/33.txt",TRUE,"field-specific repository",FALSE,"tritrypdb and deposited the thermo raw files and search engine 285:22075–22081. http://​dx.​doi.​org/​10.​1074/​jbc.​m110.​108860 output into the proteomexchange consortium via the pride partner re- clayton c. and m.",NA,"oddpub"
34,"Identification of the minimal binding region of a Plasmodium falciparum IgM binding PfEMP1 domain","10.1016/j.molbiopara.2015.06.001","Rowe","Edinburgh Infectious Diseases Organisation","Molecular and Biochemical Parasitology (ScienceDirect)",2015,1,NA,NA,1,0,"supp",2,2,2,4,0,NA,NA,"pdf/34.pdf","txt/34.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
35,"Characterization of samhd1 morphant zebrafish recapitulates features of the human type I interferonopathy Aicardi-Goutières syndrome","10.4049/jimmunol.1403157","Crow","IGC (Centre for Genomic and Experimental Medicine)","The Journal of Immunology",2015,1,NA,NA,0,0,NA,1,1,1,1,0,NA,NA,"pdf/35.pdf","txt/35.txt",FALSE,NA,FALSE,NA,NA,"oddpub"
36,"Small RNA Profiling in Dengue Virus 2-Infected Aedes Mosquito Cells Reveals Viral piRNAs and Novel Host miRNAs","10.1371/journal.pntd.0004452","Buck","Edinburgh Infectious Diseases Organisation","PLOS Neglected Tropical Diseases      (Public Library of Science PLOS)",2016,1,1,1,0,0,"NCBI Sequence Read Archive",4,4,4,4,NA,1,NA,"pdf/36.pdf","txt/36.txt",TRUE,"field-specific repository, supplement, data availability statement",FALSE,"neither do we find that host mirna have been submitted to ncbi sequence read archive under accession numbers srx1309506 to expression is strongly changed upon denv2 infection.;     plos neglected tropical diseases | doi:10.1371/journal.pntd.0004452 february 25 2016 6 / 22 small rnas in denv2-infected mosquito cells all deep sequencing libraries have been submitted to ncbi sequence read archive under the accession number sra303329.   all source data are available in s1 dataset.;     for the other blot see s1 dataset.   data availability statement: small rna sequences evidence for the production of virus-derived mirnas. neither do we find that host mirna have been submitted to ncbi sequence read archive under accession numbers srx1309506",NA,"oddpub"
